FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,MEASURE,Misura,E_COICOP_REV_ISTAT,ECOICOP Rev. Istat,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,OR0,COICOP_2015,2016,..,t,È voce da considerarsi come titolo di raggruppamento
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,OR0,COICOP_2015,2017,..,t,È voce da considerarsi come titolo di raggruppamento
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,OR0,COICOP_2015,2018,..,t,È voce da considerarsi come titolo di raggruppamento
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,OR0,COICOP_2015,2019,..,t,È voce da considerarsi come titolo di raggruppamento
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,OR0,COICOP_2015,2020,..,t,È voce da considerarsi come titolo di raggruppamento
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,OR0,COICOP_2015,2021,..,t,È voce da considerarsi come titolo di raggruppamento
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,OR0,COICOP_2015,2022,..,t,È voce da considerarsi come titolo di raggruppamento
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,OR0,COICOP_2015,2023,..,t,È voce da considerarsi come titolo di raggruppamento
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,OR0,COICOP_2015,2024,..,t,È voce da considerarsi come titolo di raggruppamento
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,00,Indice generale,2016,99.9,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,00,Indice generale,2017,101.1,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,00,Indice generale,2018,102.3,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,00,Indice generale,2019,102.9,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,00,Indice generale,2020,102.7,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,00,Indice generale,2021,104.7,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,00,Indice generale,2022,113.2,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,00,Indice generale,2023,119.6,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,00,Indice generale,2024,120.8,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,01,-- prodotti alimentari e bevande analcoliche,2016,100.2,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,01,-- prodotti alimentari e bevande analcoliche,2017,102.1,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,01,-- prodotti alimentari e bevande analcoliche,2018,103.3,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,01,-- prodotti alimentari e bevande analcoliche,2019,104.1,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,01,-- prodotti alimentari e bevande analcoliche,2020,105.6,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,01,-- prodotti alimentari e bevande analcoliche,2021,106.2,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,01,-- prodotti alimentari e bevande analcoliche,2022,115.9,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,01,-- prodotti alimentari e bevande analcoliche,2023,127.5,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,01,-- prodotti alimentari e bevande analcoliche,2024,130.6,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,02,-- bevande alcoliche e tabacchi,2016,101.5,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,02,-- bevande alcoliche e tabacchi,2017,102.1,,
A,Annuale,IT,Italia,40,'Indice dei prezzi al consumo per l"'intera collettività (base 2015=100) - medie annue',4,Numeri indici,02,-- bevande alcoliche e tabacchi,2018,105.1,,
